timestamp,coverage,quality,coverage_variance,quality_variance,coverage_min,coverage_max,quality_min,quality_max,
342.2,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
344.4,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
346.6,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
348.8,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
351,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
353.2,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
355.4,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
357.6,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
359.8,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
362,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
364.2,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
366.4,0.976252,0.143232,0,0,0.976252,0.976252,0.143232,0.143232,
368.6,0.981707,0.13467,0,0,0.981707,0.981707,0.13467,0.13467,
370.8,0.989409,0.128421,0,0,0.989409,0.989409,0.128421,0.128421,
373,0.992298,0.124219,0,0,0.992298,0.992298,0.124219,0.124219,
375.2,0.993742,0.121128,0,0,0.993742,0.993742,0.121128,0.121128,
377.4,0.995347,0.117974,0,0,0.995347,0.995347,0.117974,0.117974,
379.6,0.997272,0.114802,0,0,0.997272,0.997272,0.114802,0.114802,
381.8,0.998395,0.111361,0,0,0.998395,0.998395,0.111361,0.111361,
384,1,0.107335,0,0,1,1,0.107335,0.107335,
386.2,1,0.103395,0,0,1,1,0.103395,0.103395,
388.4,1,0.101194,0,0,1,1,0.101194,0.101194,
390.6,1,0.0996923,0,0,1,1,0.0996923,0.0996923,
