id,x,y,z,qw, qx, qy, qz, padding,
134,84.3504,-296.356,-9.39605,0.93471,0.216551,0.165701,-0.227961,0,
135,79.3504,-366.356,74.319,0.972956,0.107137,0.0935976,0.181985,0,
136,34.3504,-301.356,-16.74,0.999103,-0.00993528,-0.0398621,-0.0102447,0,
137,319.35,-141.356,46.3563,0.96127,-0.12917,0.00398935,-0.243432,0,
138,249.35,-126.356,19.914,0.977099,-0.207738,0.0411924,-0.0206497,0,
139,129.35,-286.356,-56.6992,0.993477,0.112503,0.0124181,0.0138638,0,
140,44.3504,-251.356,-27.6855,0.989052,-0.0791167,-0.0466584,0.115496,0,
141,229.35,-296.356,-4.20075,0.929358,0.270364,0.165763,-0.188995,0,
142,159.35,-231.356,-0.66166,0.965981,-0.0776202,-0.142837,0.20113,0,
143,84.3504,-461.356,-10.7325,0.999993,0.00133662,-0.000396393,-0.00332618,0,
144,329.35,-236.356,13.9758,0.999893,0.0047596,-0.00912565,-0.0103615,0,
145,339.35,-371.356,12.4808,0.979608,-0.0531588,0.151985,0.120179,0,
146,294.35,-166.356,-2.08781,0.932342,-0.203666,0.0348423,-0.296723,0,
147,254.35,-136.356,-34.9706,0.952332,0.163534,0.252967,0.0482483,0,
148,204.35,-221.356,-21.5591,0.9267,-0.0792229,-0.302226,0.208829,0,
149,189.35,-96.3557,17.465,0.968018,-0.195545,0.157114,0.00432198,0,
150,34.3504,-171.356,-21.3281,0.931316,-0.0779912,0.355643,0.00920276,0,
151,294.35,-171.356,29.5268,0.935162,-0.25694,-0.0678226,0.234209,0,
152,284.35,-371.356,-70.474,0.999233,-0.0234537,-0.0294387,-0.010837,0,
153,269.35,-236.356,-37.0444,1,0.000178583,-0.000416112,-0.000320782,0,
154,334.35,-431.356,-19.0643,0.97526,-0.16616,0.110121,0.0955623,0,
155,99.3504,-431.356,67.0786,0.999743,-0.00513474,-0.014777,-0.0164348,0,
156,299.35,-386.356,5.51051,0.998368,-0.0349775,-0.0448972,-0.00481184,0,
157,44.3504,-301.356,-36.9298,0.9951,0.0561707,-0.0668886,0.0463415,0,
158,104.35,-361.356,-0.129925,0.954536,-0.0489078,-0.249208,0.156091,0,
159,339.35,-71.3557,34.1642,0.927134,-0.129202,-0.16504,-0.310631,0,
160,139.35,-346.356,-29.4644,0.955114,-0.0684617,0.191784,-0.215148,0,
161,169.35,-466.356,-35.206,0.986294,0.0714331,-0.0124281,-0.14821,0,
162,164.35,-331.356,-83.3935,0.97224,-0.174278,-0.151026,0.0395948,0,
163,64.3504,-226.356,3.67758,0.964473,0.146065,0.135604,-0.173405,0,
164,204.35,-431.356,-13.301,0.997984,0.00683126,0.0333418,-0.0535776,0,
165,84.3504,-116.356,25.9234,0.969926,-0.220946,-0.10206,0.00306051,0,
166,279.35,-341.356,-27.9618,0.960311,-0.0469692,-0.065583,0.267012,0,
167,249.35,-191.356,-51.0991,0.999902,-0.00741332,0.0106612,0.00529539,0,
168,-15.6496,-271.356,-10.9444,0.927578,0.302583,-0.0464115,-0.214215,0,
169,29.3504,-371.356,47.3381,0.991113,0.0629665,-0.0934091,-0.0707433,0,
170,124.35,-201.356,-41.2044,0.94187,-0.221917,-0.131793,-0.215093,0,
171,174.35,-421.356,26.252,0.979483,-0.0287795,-0.167084,-0.108942,0,
172,89.3504,-466.356,9.31258,0.98975,0.0958207,-0.0798549,0.0695389,0,
173,314.35,-376.356,-31.7758,0.975223,-0.202947,0.0446097,-0.0759141,0,
174,-0.649641,-301.356,-1.37092,0.999366,-0.016964,-0.0146605,-0.0276714,0,
175,114.35,-386.356,60.1159,0.935782,0.299024,0.182263,0.0409399,0,
176,194.35,-446.356,-29.5241,0.936769,-0.118213,-0.324963,-0.05375,0,
